,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2026,30,Caleb Douglas,MIA,WR,1,1,LV,100,100,30,0.2,3.13,0.48,2,0,0,0,26,0.23,3.62,0.55,20,0.25,3.45,0.55,10,0.1,2.5,0.35
2026,31,Kendrick Bourne,ARZ,WR,1,1,LAC,100,100,29,0.28,2.59,0.53,4,0.25,3,0.55,24,0.29,2.63,0.55,10,0.2,2.2,0.42,19,0.32,2.79,0.59
2026,32,Justin Jefferson,MIN,WR,1,1,GB,100,100,29,0.31,3.17,1.01,3,0.67,6,3.27,25,0.24,2.76,0.72,5,0.4,5.2,0.92,24,0.29,2.75,1.03
2026,33,DeVonta Smith,PHI,WR,1,1,WAS,100,100,29,0.17,1.83,0.29,5,0.2,6.2,0.82,24,0.17,0.92,0.18,9,0.22,4.56,0.68,20,0.15,0.6,0.11
2026,34,George Pickens,DAL,WR,1,1,NYG,100,100,29,0.21,0.97,0.2,9,0.44,2.11,0.43,20,0.1,0.45,0.1,11,0.55,2.55,0.53,18,0,0,0
2026,35,Romeo Doubs,NE,WR,1,1,SEA,100,100,29,0.1,0,0,3,0.33,0,0,26,0.08,0,0,11,0.09,0,0,18,0.11,0,0
2026,36,Cade Otton,TB,TE,1,1,CIN,100,100,29,0.17,0.9,0.19,9,0.11,1.11,0.22,17,0.18,0.76,0.14,14,0.14,0.71,0.14,15,0.2,1.07,0.24
2026,37,Josh Downs,IND,WR,1,1,BLT,100,100,29,0.14,1.28,0.2,6,0.5,6.17,0.95,22,0.05,0,0,9,0.22,4.11,0.63,20,0.1,0,0
2026,38,Jayden Reed,GB,WR,1,1,MIN,100,100,29,0.24,0.69,0.17,2,0,0,0,24,0.25,0.83,0.21,12,0.25,0.5,0.13,17,0.24,0.82,0.2
2026,39,Emeka Egbuka,TB,WR,1,1,CIN,100,100,29,0.21,2.17,0.39,11,0.36,3.45,0.62,14,0.14,1.79,0.32,15,0.27,2.53,0.45,14,0.14,1.79,0.32
2026,40,CeeDee Lamb,DAL,WR,1,1,NYG,100,100,28,0.29,1.57,0.55,7,0.29,0.14,1.01,21,0.29,2.05,0.4,10,0.1,0.9,0.19,18,0.39,1.94,0.75
2026,41,Tyler Warren,IND,TE,1,1,BLT,100,100,28,0.18,0.46,0.37,4,0,0,0,23,0.17,0.17,0.1,8,0.13,0.25,0.15,20,0.2,0.55,0.45
2026,42,Makai Lemon,PHI,WR,1,1,WAS,100,100,28,0.14,-0.18,0.09,4,0,0,0,24,0.17,-0.21,0.1,8,0.13,-0.38,0.09,20,0.15,-0.1,0.09
2026,43,Ted Hurst,TB,WR,1,1,CIN,100,100,28,0.11,1.29,0.24,12,0.08,1.33,0.22,14,0.14,1.43,0.29,14,0.07,1.14,0.19,14,0.14,1.43,0.29
2026,44,Dontayvion Wicks,PHI,WR,1,1,WAS,100,100,27,0.15,2.7,0.57,5,0.4,1.8,1.58,22,0.09,2.91,0.34,9,0.22,1,0.88,18,0.11,3.56,0.41
2026,45,Tre Tucker,LV,WR,1,1,MIA,100,100,27,0.15,1,0.17,6,0,0,0,18,0.17,1.5,0.26,20,0.15,1.35,0.24,7,0.14,0,0
2026,46,Kayshon Boutte,HST,WR,1,1,BUF,100,100,27,0.07,0.78,0.11,5,0,0,0,22,0.09,0.95,0.14,10,0.1,2.1,0.31,17,0.06,0,0
2026,47,Rashee Rice,KC,WR,1,1,DEN,100,100,27,0.07,0.7,0.37,9,0.11,1.44,0.92,18,0.06,0.33,0.09,14,0.14,1.36,0.71,13,0,0,0
2026,48,Xavier Worthy,KC,WR,1,1,DEN,100,100,27,0.22,0.67,0.18,9,0.44,1,0.32,18,0.11,0.5,0.11,15,0.27,0.6,0.19,12,0.17,0.75,0.16
2026,49,Denzel Boston,CLV,WR,1,1,JAX,100,100,27,0.15,2.19,0.51,4,0,0,0,22,0.14,2.68,0.63,11,0.09,0,0,16,0.19,3.69,0.87
2026,50,Dallas Goedert,PHI,TE,1,1,WAS,100,100,26,0.19,2.96,0.91,5,0,0,0,21,0.24,3.67,1.13,7,0.14,1.71,0.31,19,0.21,3.42,1.13
2026,51,Rashod Bateman,BLT,WR,1,1,IND,100,100,26,0.04,0,0,15,0.07,0,0,10,0,0,0,15,0.07,0,0,11,0,0,0
2026,52,Jaylen Waddle,DEN,WR,1,1,KC,100,100,26,0.12,0.08,0.05,8,0.13,0.25,0.15,18,0.11,0,0,10,0.3,0.2,0.12,16,0,0,0
2026,53,Jaxon Smith-Njigba,SEA,WR,1,1,NE,100,100,26,0.42,4.69,1.01,9,0.33,0,0,17,0.47,7.18,1.54,12,0.25,2,0.37,14,0.57,7,1.56
2026,54,Quentin Johnston,LAC,WR,1,1,ARZ,100,100,26,0.19,0.65,0.14,0,0,0,0,21,0.24,0.81,0.18,6,0.17,0,0,20,0.2,0.85,0.18
2026,55,Xavier Legette,CAR,WR,1,1,CHI,100,100,26,0.08,0,0,12,0.17,0,0,12,0,0,0,16,0.13,0,0,10,0,0,0
2026,56,Roman Wilson,PIT,WR,1,1,ATL,100,100,26,0.23,1,0.22,8,0.25,0,0,16,0.25,1.63,0.35,19,0.16,0.05,0.06,7,0.43,3.57,0.64
2026,57,Tre Harris,LAC,WR,1,1,ARZ,100,100,26,0.23,0.77,0.19,0,0,0,0,22,0.27,0.91,0.23,6,0.33,0,0,20,0.2,1,0.25
2026,58,Luther Burden,CHI,WR,1,1,CAR,100,100,26,0.19,2.42,0.43,3,0.33,5,0.83,22,0.18,2.18,0.4,18,0.22,2.83,0.51,8,0.13,1.5,0.28
2026,59,Keenan Allen,IND,WR,1,1,BLT,100,100,25,0.24,1.28,0.37,7,0.14,0.43,0.19,17,0.29,1.71,0.46,6,0.17,1,0.27,19,0.26,1.37,0.4
2026,60,Stefon Diggs,WAS,WR,1,1,PHI,100,100,25,0.36,2.2,0.62,5,0.2,2,1.6,17,0.47,2.65,0.44,13,0.38,3.23,1.02,12,0.33,1.08,0.19
2026,61,Darnell Mooney,NYG,WR,1,1,DAL,100,100,25,0.08,1.08,0.19,4,0,0,0,20,0.1,1.35,0.24,14,0.14,1.93,0.34,11,0,0,0
2026,62,Travis Kelce,KC,TE,1,1,DEN,100,100,24,0.21,2.96,0.42,7,0.29,9.29,1.21,17,0.18,0.35,0.09,13,0.15,0.46,0.12,11,0.27,5.91,0.77
