,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2026,98,Jack Bech,LV,WR,1,1,MIA,100,100,40.3,12,38.7,4,13.3,1.92,0.33,7.75,31,14,23,14.4,5.75,7.67,3,75,6,2,5,1.67,1,0.94,33.3,2,0,0,1,0.083,88.5,2,11.1,0,0,3,75,0,0,0,0,1,1,100,0,1,0.33,30.8,-1.52,-0.739,25,75,0,0,11.3,10.3,11.3,10.28,1.02,0.94,0.86,10.3
2026,99,Josh Oliver,MIN,TE,1,1,GB,100,100,68.9,9,30,4,16.7,2.44,0.44,3,12,6.7,22,14.6,5.5,11,2,50,6,3,3,1.5,0,0.01,0,0,0,0,1,0.111,66.7,3,20,1,25,2,50,0,0,0,0,0,0,0,0,0,0,50,-1.09,-0.007,0,0,100,0,4.2,4.1,4.2,4.09,0.11,0.47,0.45,4.1
2026,100,Ryan Flournoy,DAL,WR,1,1,NYG,100,100,75,24,66.7,4,11.8,0.92,0.17,5.5,22,9.2,22,12.6,5.5,11,2,50,11,5.5,0,0,0,0,0,0,0,0,1,0.042,66.7,3,12,1,25,4,100,0,0,1,25,1,0,0,0,1,0.5,16,-1.43,0.632,29.2,70.8,0,0,4.2,6.6,4.2,6.6,-2.4,0.18,0.27,6.6
2026,101,Kayshon Boutte,HST,WR,1,1,BUF,100,100,46.6,27,64.3,2,5.3,0.78,0.07,16,32,11.2,21,7.7,10.5,21,1,50,7,7,1,1,0,0.01,0,0,0,0,1,0.037,87.5,2,6.1,0,0,2,100,0,100,1,50,0,0,0,0,0,0,8.3,0.14,0.212,70.4,29.6,0,0,3.1,5.3,3.1,5.26,-2.16,0.11,0.19,5.3
2026,102,Harold Fannin,CLV,TE,1,1,JAX,100,100,81.6,22,73.3,3,13.6,0.95,0.14,3.33,10,5.1,21,10.2,7,10.5,2,66.7,15,7.5,5,2.5,0,0.01,0,0,0,0,1,0.045,86.8,1,7.1,0,0,2,66.7,0,0,0,0,0,0,0,0,0,0,17.6,0.89,-0.061,18.2,27.3,54.5,0,4.1,3.3,4.1,3.3,0.8,0.19,0.15,3.3
2026,103,Kenyon Sadiq,NYJ,TE,1,1,TEN,100,100,41.3,12,46.2,3,12.5,1.75,0.25,-0.33,-1,-0.7,21,9.8,7,7,3,100,22,7.33,8,2.67,0,0.02,0,0,0,0,0,0,95.8,2,12.5,1,33.3,3,100,0,0,0,0,0,0,0,0,0,0,27.3,0.84,0.169,16.7,16.7,58.3,8.3,11.4,11.1,11.4,11.14,0.26,0.42,0.42,5
2026,104,DeMario Douglas,NE,WR,1,1,SEA,100,100,61.2,32,76.2,7,21.2,0.63,0.22,5.71,40,20.3,20,11.2,2.86,4,5,71.4,22,4.4,5,1,0,0.02,0,0,0,0,2,0.063,34.5,6,28.6,2,28.6,5,71.4,1,0,0,0,1,1,100,0,0,0,29.2,-4.06,0.073,12.5,87.5,0,0,7,7.1,7,7.13,-0.13,0.22,0.22,7.1
2026,105,Jayden Reed,GB,WR,1,1,MIN,100,100,55.2,29,63,7,16.7,0.69,0.24,6,42,10.6,20,5.2,2.86,6.67,3,42.9,5,1.67,3,1,0,0.03,0,1,0,0,1,0.034,50.3,7,21.2,0,0,3,42.9,0,0,0,0,0,0,0,0,0,0,28,-3.88,-0.172,20.7,75.9,0,3.4,5,5.8,5,5.76,-0.76,0.17,0.2,5.8
2026,106,Tre Harris,LAC,WR,1,1,ARZ,100,100,72.5,26,74.3,6,22.2,0.77,0.23,7.5,45,16,20,9.6,3.33,6.67,3,50,8,2.67,5,1.67,0,0.01,0,0,0,0,0,0,57.6,6,28.6,1,16.7,5,83.3,0,0,0,0,3,1,33.3,0,0,0,30,-4.24,-0.558,57.7,42.3,0,0,5,8.4,5,8.42,-3.42,0.19,0.32,8.4
2026,107,Josh Cameron,JAX,WR,1,1,CLV,100,100,32.1,6,25,2,8.7,3.33,0.33,12.5,25,10.5,20,8.2,10,10,2,100,2,1,1,0.5,1,0.87,25,1,1,1,2,0.333,147.9,2,11.1,0,0,2,100,0,0,0,0,1,1,100,0,0,0,40,0.94,1.098,83.3,16.7,0,0,10,9.1,10,9.09,0.91,1.67,1.51,9.1
