,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,COV,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,,League Avg,,,,,,,44.23260869565212,28.017391304347825,43.69057971014489,5.572463768115942,12.25318840579713,1.5,0.2,6.1151014492753655,35.447826086956525,12.057826086956526,42.165217391304346,13.27463768115942,7.57,10.14,4.1579710144927535,74.6,21.115942028985508,5.08,7.143478260869565,1.72,0.3347826086956522,0.317927536231884,11.321014492753626,0.8840579710144928,0.3492753623188406,0.17971014492753623,2.126086956521739,0.076,91.8718840579711,3.889855072463768,13.314782608695669,0.4246376811594203,7.6,4.778260869565218,85.7,0.3173913043478261,13,0.32028985507246377,5.7,0.9072463768115943,0.5579710144927537,61.5,0.04492753623188406,0.4115942028985507,0.1,20,0.25,0.286,13.413333333333348,34.50652173913045,49.49666666666665,2.4420289855072457,10.3831884057971,10.000144927536223,2.5314782608695645,2.4355217391304316,0.09595652173913051,0.37,0.36,10.000144927536223
2025,1,Trey McBride,ARZ,TE,16,Cover 3,32.53373313343329,32.121212121212125,93.4,217,89.7,53,25.1,2.06,0.24,6.7,355,26.4,447,31.3,8.43,10.16,44,83,210,4.77,50,1.14,2,2.13,50,4,3,1,21,0.097,114.4,48,36.6,9,17,48,90.6,2,14.6,1,1.9,15,12,80,0,3,0.07,29,0.84,0.573,10.6,61.3,28.1,0,100.7,90.6,6.29,5.66,0.63,0.46,0.42,90.6
2025,2,Hunter Henry,NE,TE,15,Cover 3,34.08577878103837,44.047619047619044,83.1,151,70.9,37,20.7,2.84,0.25,8.05,298,20.4,429,26.1,11.59,14.79,29,78.4,226,7.79,45,1.55,2,0.78,33.3,1,0,0,21,0.139,110.5,27,23.3,1,2.7,31,83.8,3,28.6,1,2.7,5,3,60,1,1,0.03,25.9,3.6,0.423,14.6,43,38.4,4,83.9,64.9,5.59,4.32,1.27,0.56,0.43,64.9
2025,3,Tyler Warren,IND,TE,15,Cover 3,30.208333333333332,36.79245283018868,87.8,145,80.6,39,23.6,2.77,0.27,5.85,228,15.4,401,27.1,10.28,12.53,32,82.1,250,7.81,80,2.5,1,1.29,33.3,4,1,0,18,0.124,107.4,36,28.3,4,10.3,35,89.7,1,20,0,0,5,2,40,1,4,0.13,28.5,3,0.381,13.8,42.1,39.3,4.8,78.1,69.9,5.21,4.66,0.55,0.54,0.48,69.9
2025,4,Colston Loveland,CHI,TE,15,Cover 3,36.235955056179776,44.303797468354425,59.2,129,59.2,35,17.6,2.61,0.27,11.31,396,24.3,337,21.6,9.63,15.32,22,62.9,122,5.55,47,2.14,1,1.38,12.5,1,1,1,15,0.116,104.1,24,20.2,0,0,25,71.4,5,28.6,1,2.9,3,1,33.3,0,3,0.14,28.9,0.81,0.459,27.1,26.4,44.2,2.3,61.7,59.5,4.11,3.97,0.14,0.48,0.46,59.5
2025,5,Juwan Johnson,NO,TE,16,Cover 3,30.357142857142854,35,78.7,153,69.2,35,18.2,2.01,0.23,7.03,246,15.7,308,24.3,8.8,10.62,29,82.9,121,4.17,33,1.14,0,0.1,0,1,0,0,16,0.105,103.3,27,19.7,3,8.6,31,88.6,2,14.3,2,5.7,6,6,100,1,2,0.07,23.8,1.05,0.333,17,47.1,33.3,2.6,59.8,58.1,3.74,3.63,0.11,0.39,0.38,58.1
2025,6,Travis Kelce,KC,TE,16,Cover 3,26.418786692759294,27.884615384615387,82.4,135,69.9,29,18.2,2.11,0.21,7.17,208,16.3,285,21.3,9.83,13.57,21,72.4,156,7.43,32,1.52,1,0.31,33.3,1,0,0,12,0.089,114.9,17,17.2,1,3.4,24,82.8,4,20,2,6.9,1,1,100,0,6,0.29,24,2.45,0.534,23.7,38.5,36.3,1.5,55.5,47.8,3.47,2.99,0.48,0.41,0.35,47.8
2025,7,George Kittle,SF,TE,8,Cover 3,31.868131868131865,39.39393939393939,51.8,87,74.4,26,24.3,3.11,0.3,7.31,190,23.4,271,26.2,10.42,12.32,22,84.6,123,5.59,27,1.23,1,1.12,33.3,3,0,0,16,0.184,122.9,20,27.4,0,0,24,92.3,0,10.5,1,3.8,2,2,100,0,2,0.09,31,2.8,0.834,6.9,25.3,66.7,1.1,55.1,51.4,6.89,6.42,0.47,0.63,0.59,51.4
2025,8,Trey McBride,ARZ,TE,15,Cover 4,21.58920539730135,21.818181818181817,93.2,144,88.9,36,24.2,1.82,0.25,6.58,237,22.5,262,25.6,7.28,9.36,28,77.8,144,5.14,72,2.57,3,2.03,37.5,11,4,1,12,0.083,124.8,32,34.8,7,19.4,30,83.3,1,9.1,1,2.8,5,3,60,0,6,0.21,28.8,-0.31,0.524,4.2,56.3,38.9,0.7,72.2,61.7,4.81,4.12,0.69,0.5,0.43,61.7
