,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2026,,League Avg,,,,,,,,16.3739837398374,0.19,1.57,0.35,3.813008130081301,0.21,1.28,0.35,11.800813008130081,0.19,1.72,0.34,8.56910569105691,0.19,1.47,0.31,7.804878048780488,0.19,1.67,0.39
2026,1,Xavier Hutchinson,HST,WR,1,2,CIN,100,100,50,0.16,0.74,0.13,11,0.36,1.73,0.35,36,0.11,0.5,0.08,25,0.24,0.76,0.16,25,0.08,0.72,0.11
2026,2,Dalton Schultz,HST,TE,1,2,CIN,100,100,47,0.3,2.98,0.55,9,0,0,0,34,0.41,4.12,0.76,23,0.13,1.13,0.2,24,0.46,4.75,0.89
2026,3,Kayshon Boutte,HST,WR,1,2,CIN,100,100,46,0.11,0.8,0.15,8,0.25,2.63,0.39,36,0.06,0.44,0.1,21,0.1,1,0.15,25,0.12,0.64,0.14
2026,4,DK Metcalf,PIT,WR,1,2,NE,100,100,44,0.2,0.61,0.15,24,0.17,0.38,0.08,19,0.26,0.95,0.25,26,0.12,0,0,18,0.33,1.5,0.37
2026,5,Xavier Worthy,KC,WR,1,2,IND,100,100,43,0.16,0.58,0.31,13,0.15,0.38,0.65,30,0.17,0.67,0.17,23,0.13,0.09,0.1,20,0.2,1.15,0.57
2026,6,Amon-Ra St. Brown,DET,WR,1,2,BUF,100,100,42,0.29,3.38,0.84,6,0.5,7.5,2.25,34,0.24,2.59,0.58,19,0.21,3.42,0.55,23,0.35,3.35,1.07
2026,7,Jameson Williams,DET,WR,1,2,BUF,100,100,41,0.07,0.8,0.13,6,0.17,0,0,34,0.06,0.97,0.16,19,0.05,0,0,22,0.09,1.5,0.24
2026,8,DeVonta Smith,PHI,WR,1,2,TEN,100,100,40,0.33,2.92,0.69,5,0.4,2.8,0.68,34,0.29,3.03,0.71,10,0.3,2.2,0.52,30,0.33,3.17,0.75
2026,9,Sam LaPorta,DET,TE,1,2,BUF,100,100,40,0.17,1.3,0.43,5,0,0,0,32,0.19,1.59,0.32,17,0.12,0.41,0.1,23,0.22,1.96,0.67
2026,10,Isaiah Williams,NYJ,WR,1,2,GB,100,100,39,0.15,0.87,0.24,5,0,0,0,32,0.16,1.03,0.26,19,0.11,0.47,0.15,20,0.2,1.25,0.33
2026,11,Roman Wilson,PIT,WR,1,2,NE,100,100,39,0.15,0.72,0.2,20,0.15,0.45,0.14,18,0.17,1.06,0.27,22,0.18,0.86,0.27,17,0.12,0.53,0.11
2026,12,Jaylin Noel,HST,WR,1,2,CIN,100,100,39,0.1,0.79,0.11,4,0.25,0,0,31,0.1,1,0.13,16,0.19,1.94,0.26,23,0.04,0,0
2026,13,Garrett Wilson,NYJ,WR,1,2,GB,100,100,37,0.19,1.54,0.45,5,0.6,4.8,2.28,31,0.13,1.06,0.17,17,0.24,1.41,0.67,20,0.15,1.65,0.27
2026,14,Adonai Mitchell,NYJ,WR,1,2,GB,100,100,37,0.32,1.7,0.33,4,0.25,0,0,32,0.31,1.97,0.38,16,0.44,2.31,0.42,21,0.24,1.24,0.27
2026,15,Travis Kelce,KC,TE,1,2,IND,100,100,36,0.31,2.81,0.7,9,0.22,-0.11,0.1,27,0.33,3.78,0.9,19,0.42,3.21,0.64,17,0.18,2.35,0.76
2026,16,Rashee Rice,KC,WR,1,2,IND,100,100,36,0.14,2.31,0.34,10,0.1,0,0,25,0.12,2.08,0.33,19,0.11,1.58,0.21,17,0.18,3.12,0.49
2026,17,Tetairoa McMillan,CAR,WR,1,2,ATL,100,100,35,0.26,2.89,0.43,9,0.33,1.33,0.24,21,0.24,4.24,0.61,22,0.27,2.18,0.35,13,0.23,4.08,0.56
2026,18,Germie Bernard,PIT,WR,1,2,NE,100,100,35,0.23,1,0.21,20,0.35,0.8,0.23,14,0.07,1.36,0.21,22,0.32,0.73,0.21,13,0.08,1.46,0.22
2026,19,Terry McLaurin,WAS,WR,1,2,DAL,100,100,34,0.26,1.47,0.21,7,0.29,0,0,26,0.23,1.92,0.27,19,0.26,1.37,0.19,15,0.27,1.6,0.23
2026,20,Ja'Marr Chase,CIN,WR,1,2,HST,100,100,34,0.26,2.21,0.78,2,0,0,0,32,0.28,2.34,0.83,17,0.06,0.29,0.09,17,0.47,4.12,1.47
2026,21,Chris Olave,NO,WR,1,2,BLT,100,100,34,0.26,2.53,0.66,7,0.43,4.86,0.91,26,0.23,2,0.62,14,0.36,3.29,0.61,20,0.2,2,0.7
2026,22,Devaughn Vele,NO,WR,1,2,BLT,100,100,34,0.21,1.88,0.34,8,0.13,0,0,25,0.24,2.56,0.46,14,0.21,2.86,0.43,20,0.2,1.2,0.27
2026,23,Rome Odunze,CHI,WR,1,2,MIN,100,100,34,0.12,1.26,0.21,2,0,0,0,27,0.15,1.59,0.27,15,0.2,2.4,0.37,19,0.05,0.37,0.09
2026,24,Jalen Coker,CAR,WR,1,2,ATL,100,100,33,0.27,2,0.44,8,0.25,1,0.35,20,0.25,2.75,0.53,21,0.19,1.33,0.32,12,0.42,3.17,0.65
2026,25,Isaac TeSlaa,DET,WR,1,2,BUF,100,100,33,0.15,0.79,0.14,5,0.2,0,0,27,0.15,0.96,0.17,17,0.24,1.53,0.27,16,0.06,0,0
2026,26,Chris Godwin,TB,WR,1,2,CLV,100,100,32,0.09,1.44,0.24,22,0.14,2.09,0.35,10,0,0,0,26,0.12,1.77,0.29,6,0,0,0
2026,27,Rashod Bateman,BLT,WR,1,2,NO,100,100,31,0.29,2.84,0.7,5,0.2,0,0,26,0.31,3.38,0.84,24,0.21,1.58,0.53,7,0.57,7.14,1.29
2026,28,Jahan Dotson,ATL,WR,1,2,CAR,100,100,31,0.13,0.35,0.1,6,0.17,0,0,25,0.12,0.44,0.12,24,0.13,0.33,0.07,7,0.14,0.43,0.19
2026,29,Tyquan Thornton,KC,WR,1,2,IND,100,100,31,0.13,2.77,0.41,11,0.18,3.27,0.51,20,0.1,2.5,0.35,17,0.12,2.12,0.33,14,0.14,3.57,0.5
2026,30,Michael Wilson,ARZ,WR,1,2,SEA,100,100,31,0.19,0.58,0.12,1,0,0,0,29,0.21,0.62,0.13,10,0.2,0,0,21,0.19,0.86,0.18
2026,31,Jared Wayne,HST,WR,1,2,CIN,100,100,31,0.23,1.06,0.17,7,0.43,2.57,0.4,19,0.21,0.79,0.13,16,0.19,1.13,0.17,15,0.27,1,0.17
2026,32,Emeka Egbuka,TB,WR,1,2,CLV,100,100,31,0.16,0.52,0.34,20,0.25,0.8,0.53,10,0,0,0,26,0.15,0.42,0.12,5,0.2,1,1.5
2026,33,Makai Lemon,PHI,WR,1,2,TEN,100,100,31,0.03,0.45,0.08,5,0,0,0,25,0.04,0.56,0.1,9,0,0,0,22,0.05,0.64,0.11
2026,34,Kalif Raymond,CHI,WR,1,2,MIN,100,100,30,0.17,1.33,0.3,2,0,0,0,24,0.17,1.33,0.3,11,0,0,0,19,0.26,2.11,0.47
2026,35,Darnell Mooney,NYG,WR,1,2,LA,100,100,30,0.1,1.6,0.23,14,0.21,3.43,0.49,16,0,0,0,19,0.16,2.53,0.36,11,0,0,0
2026,36,Cade Otton,TB,TE,1,2,CLV,100,100,30,0.2,1.27,0.29,21,0.24,1.38,0.33,9,0.11,1,0.21,26,0.19,1.12,0.27,4,0.25,2.25,0.47
2026,37,Isaiah Likely,NYG,TE,1,2,LA,100,100,29,0.31,1.14,0.29,13,0.31,0.77,0.23,16,0.31,1.44,0.33,16,0.25,0.63,0.19,13,0.38,1.77,0.41
2026,38,Jakobi Meyers,JAX,WR,1,2,DEN,100,100,28,0.04,1,0.14,12,0,0,0,15,0.07,1.87,0.25,12,0,0,0,16,0.06,1.75,0.24
