,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2025,,League Avg,,,,,,,,29.156370656370655,0.2,1.6,0.36,7.457528957528957,0.21,1.5,0.35,20.44787644787645,0.2,1.7,0.35,14.135135135135135,0.21,1.68,0.35,15.021235521235521,0.19,1.52,0.36
2025,1,Amon-Ra St. Brown,DET,WR,1,16,PIT,9.67741935483871,5.421686746987952,51,0.18,1.06,0.18,17,0.29,1.59,0.28,31,0.1,0.87,0.15,25,0.12,0,0,26,0.23,2.08,0.36
2025,2,Jameson Williams,DET,WR,1,16,PIT,8.81294964028777,9.090909090909092,49,0.18,1.43,0.24,13,0.23,0.46,0.12,33,0.15,1.94,0.32,25,0.12,1.08,0.19,24,0.25,1.79,0.3
2025,3,Trey McBride,ARZ,TE,1,14,LA,7.04647676161919,5.454545454545454,47,0.19,1.23,0.23,6,0,0,0,38,0.24,1.53,0.28,17,0.24,1.53,0.33,30,0.17,1.07,0.17
2025,4,Ja'Marr Chase,CIN,WR,1,13,BLT,7.504078303425775,7.734806629834254,46,0.3,2.39,0.39,22,0.27,2,0.38,23,0.3,2.87,0.42,32,0.31,2.56,0.41,14,0.29,2,0.34
2025,5,George Pickens,DAL,WR,1,14,DET,7.890222984562607,6.870229007633588,46,0.2,0.8,0.19,21,0.1,0.52,0.15,25,0.28,1.04,0.22,20,0.15,0.75,0.17,26,0.23,0.85,0.2
2025,6,Courtland Sutton,DEN,WR,1,16,JAX,8.19672131147541,9.166666666666666,45,0.24,1.91,0.46,3,0.33,5,2.83,39,0.23,1.82,0.31,17,0.35,2.47,0.42,28,0.18,1.57,0.48
2025,7,Chris Olave,NO,WR,1,16,NYJ,7.899461400359066,10.596026490066226,44,0.36,3.36,0.84,9,0.67,8.33,2.06,34,0.29,2.15,0.54,21,0.52,4.81,1.39,23,0.22,2.04,0.33
2025,8,Puka Nacua,LA,WR,1,16,SEA,9.865470852017937,9.815950920245399,44,0.36,5.11,1.06,7,0.43,1,1.24,34,0.35,6.26,1.07,16,0.44,5,1.13,28,0.32,5.18,1.02
2025,9,Ja'Marr Chase,CIN,WR,1,15,BLT,7.01468189233279,8.83977900552486,43,0.37,3.07,0.54,7,0.57,0.29,0.17,34,0.32,3.65,0.6,26,0.54,4.85,0.83,17,0.12,0.35,0.09
2025,10,Tre Harris,LAC,WR,1,18,DEN,15.75091575091575,14.285714285714285,43,0.14,0.65,0.11,10,0.2,1.2,0.22,30,0.1,0.53,0.09,19,0.16,0,0,24,0.13,1.17,0.2
2025,11,CeeDee Lamb,DAL,WR,1,17,WAS,9.545454545454547,8.849557522123893,42,0.24,1.1,0.23,6,0,0,0,36,0.28,1.28,0.27,7,0.43,3.43,0.49,35,0.2,0.63,0.18
2025,12,Ja'Marr Chase,CIN,WR,1,18,CLV,6.851549755301795,5.524861878453039,42,0.24,2.29,0.56,8,0.25,2.63,0.39,33,0.24,2.27,0.62,14,0.36,4.07,1.19,28,0.18,1.39,0.25
2025,13,Chris Olave,NO,WR,1,13,MIA,7.5403949730700175,3.9735099337748347,42,0.14,1.12,0.35,8,0.13,1.25,0.25,34,0.15,1.09,0.37,15,0.07,0.27,0.09,27,0.19,1.59,0.49
2025,14,Jameson Williams,DET,WR,1,18,CHI,7.553956834532374,8.080808080808081,42,0.19,1.76,0.32,23,0.22,2.09,0.34,15,0.2,1.73,0.37,26,0.27,2.5,0.44,16,0.06,0.56,0.12
2025,15,Wan'Dale Robinson,NYG,WR,1,15,WAS,8.030592734225621,6.8181818181818175,42,0.21,1.29,0.39,17,0.18,1.65,0.64,24,0.21,1.08,0.23,29,0.17,0.97,0.37,13,0.31,2,0.43
2025,16,Andrei Iosivas,CIN,WR,1,13,BLT,8.316831683168317,3.4482758620689653,42,0.05,0.69,0.24,21,0.05,0,0,20,0.05,1.45,0.49,30,0.07,0.97,0.33,12,0,0,0
2025,17,Zach Ertz,WAS,TE,1,13,DEN,12.386706948640484,18.30985915492958,41,0.32,2.59,0.5,17,0.12,1.53,0.27,23,0.43,3.48,0.7,17,0.41,4.59,0.87,24,0.25,1.17,0.24
2025,18,Marquez Valdes-Scantling,PIT,WR,1,18,BLT,19.158878504672895,24.137931034482758,41,0.17,0.83,0.2,16,0.19,1.25,0.25,23,0.17,0.61,0.19,29,0.24,1.17,0.29,12,0,0,0
2025,19,David Sills,ATL,WR,1,15,TB,13.804713804713806,29.411764705882355,41,0.24,1.9,0.34,10,0.3,0.4,0.14,30,0.23,2.47,0.41,19,0.16,0.53,0.11,22,0.32,3.09,0.54
2025,20,Deebo Samuel,WAS,WR,1,13,DEN,9.761904761904763,7.142857142857142,41,0.17,1.56,0.28,16,0.31,3.25,0.51,24,0.08,0.5,0.13,18,0.06,0,0,23,0.26,2.78,0.5
2025,21,Darnell Mooney,ATL,WR,1,15,TB,9.761904761904763,8.450704225352112,41,0.15,0.85,0.16,10,0.2,0.6,0.16,30,0.13,0.97,0.16,18,0.17,0,0,23,0.13,1.52,0.28
2025,22,Jerry Jeudy,CLV,WR,1,14,TEN,7.400722021660649,4.807692307692308,41,0.12,1.85,0.4,10,0.1,0,0,30,0.13,2.53,0.55,16,0.31,4.75,1.04,25,0,0,0
2025,23,Amon-Ra St. Brown,DET,WR,1,15,LA,7.7798861480075905,10.843373493975903,41,0.44,4,1.01,8,0.38,1,0.97,31,0.42,4.61,1.01,15,0.47,3.73,0.71,26,0.42,4.15,1.18
2025,24,Jahan Dotson,PHI,WR,1,18,WAS,10.621761658031089,20.588235294117645,41,0.17,0.98,0.17,10,0.3,1.5,0.25,29,0.14,0.86,0.16,16,0.19,0.94,0.16,25,0.16,1,0.18
2025,25,Stefon Diggs,NE,WR,1,16,BLT,9.975062344139651,10,40,0.25,3.45,0.57,10,0.3,6.3,0.93,30,0.23,2.5,0.45,23,0.3,4.52,0.76,17,0.18,2,0.32
