,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,CONCEPT,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2026,15,Blake Corum,LA,RB,1,Man/Duo,70,35,7,35,0,35,5,0,0.01,0,2,28.6,23,65.7,0,0,57.1,42.9,5,4,42.9,1,20,2,0.29,-0.017,-0.1,0,0,0,0,0,0,7,100,35,0,5,57.1,3.5,3,3.5,3.04,0.46
2026,16,Jacory Croskey-Merritt,WAS,RB,1,Inside Zone,50,60,8,53.3,0,33,4.13,0,0.05,0,4,0,0,0,0,0,62.5,37.5,-1.3,2.13,25,2,48.5,1,0.13,0.325,2.6,8,100,33,0,4.13,62.5,0,0,0,0,0,0,3.3,3.7,3.3,3.71,-0.41
2026,17,Cam Skattebo,NYG,RB,1,Power,38.88888888888889,87.5,7,87.5,0,33,4.71,0,0.17,0,1,16.7,13,39.4,100,0,57.1,57.1,5.2,3.14,0,1.57,33.3,0,0,-0.014,-0.1,0,0,0,0,0,0,7,100,33,0,4.71,57.1,3.3,3.8,3.3,3.81,-0.51
2026,18,Ashton Jeanty,LV,RB,1,Inside Zone,39.130434782608695,75,9,75,0,32,3.56,0,0.08,0,2,11.1,11,34.4,0,0,44.4,44.4,-5.8,1.33,44.4,2.22,62.5,2,0.22,-0.221,-2,9,100,32,0,3.56,44.4,0,0,0,0,0,0,3.2,4.3,3.2,4.25,-1.05
2026,19,David Montgomery,HST,RB,1,Power,25,55.6,5,55.6,0,31,6.2,1,0.07,0,2,20,18,58.1,0,20,80,20,7.7,4.6,40,1.6,25.8,0,0,0.752,3.8,0,0,0,0,0,0,5,100,31,1,6.2,80,9.1,2.8,9.1,2.76,6.34
2026,20,Jahmyr Gibbs,DET,RB,1,Man/Duo,31.03448275862069,90,9,90,0,31,3.44,1,0.96,0,4,14.3,11,35.5,100,11.1,55.6,33.3,-5.5,2.33,22.2,1.11,32.3,1,0.11,-0.333,-3,0,0,0,0,0,0,9,100,31,1,3.44,55.6,9.1,9.4,9.1,9.43,-0.33
2026,21,Chuba Hubbard,CAR,RB,1,Outside Zone,50,83.3,5,83.3,0,30,6,0,0.06,0,1,25,11,36.7,0,0,80,40,10.3,5.4,20,0.6,10,0,0,0.166,0.8,5,100,30,0,6,80,0,0,0,0,0,0,3,2.3,3,2.3,0.7
2026,22,Breece Hall,NYJ,RB,1,Power,13.636363636363635,100,3,100,0,30,10,0,0.01,0,2,66.7,25,83.3,0,0,66.7,0,15.5,7.67,0,2.33,23.3,0,0,0.469,1.4,0,0,0,0,0,0,3,100,30,0,10,66.7,3,1.5,3,1.53,1.47
2026,23,Ashton Jeanty,LV,RB,1,Man/Duo,17.391304347826086,80,4,80,0,30,7.5,0,0.01,0,2,25,10,33.3,0,0,100,0,11.9,2.5,25,5,66.7,1,0.25,0.418,1.7,0,0,0,0,0,0,4,100,30,0,7.5,100,3,1.9,3,1.88,1.12
2026,24,Kyren Williams,LA,RB,1,Man/Duo,72.72727272727273,40,8,40,0,29,3.63,0,0.13,0,2,0,0,0,100,0,62.5,37.5,0.9,2.13,25,1.5,41.4,0,0,0.061,0.5,0,0,0,0,0,0,8,100,29,0,3.63,62.5,2.9,3.6,2.9,3.59,-0.69
