"Player Details","","","","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"1","Saquon Barkley","PHI","RB","1","2024","1","12","LA","26","255","255.0","9.81","2","0","7","7.7","142","55.7","0.0","7.7","69.2","23.1","5","0.19","62","2.38","24.3","7.42","10","38.5","121","1","12.10","90.0","16","61.5","134","1","8.38","56.3","46.2","46.2","21.9","21.9"
"2","Jonathan Taylor","IND","RB","1","2024","1","16","TEN","29","218","218.0","7.52","3","0","6","6.9","135","61.9","33.3","10.3","51.7","48.3","3","0.10","61","2.10","28.0","5.41","11","37.9","34","0","3.09","54.5","18","62.1","184","3","10.22","50.0","39.8","39.8","17.0","17.0"
"3","Derrick Henry","BLT","RB","1","2024","1","4","BUF","24","199","199.0","8.29","1","1","7","12.5","150","75.4","100.0","4.2","50.0","54.2","3","0.13","54","2.25","27.1","6.04","8","33.3","49","0","6.13","62.5","16","66.7","150","1","9.38","43.8","35.9","35.9","25.2","25.2"
"4","Jonathan Taylor","IND","RB","1","2024","1","18","JAX","34","177","177.0","5.21","1","0","12","2.9","17","9.6","0.0","2.9","73.5","26.5","2","0.06","69","2.03","39.0","3.18","16","47.1","90","1","5.63","81.3","18","52.9","87","0","4.83","66.7","25.0","25.0","19.2","19.2"
"5","Saquon Barkley","PHI","RB","1","2024","1","7","NYG","17","176","176.0","10.35","1","0","6","17.6","134","76.1","25.0","5.9","52.9","41.2","3","0.18","52","3.06","29.5","7.29","8","47.1","93","0","11.63","50.0","9","52.9","83","1","9.22","55.6","26.7","26.7","16.7","16.7"
"6","Dameon Pierce","HST","RB","1","2024","1","18","TEN","19","176","176.0","9.26","1","1","5","5.3","92","52.3","0.0","5.3","47.4","52.6","1","0.05","74","3.89","42.0","5.37","9","47.4","121","1","13.44","44.4","10","52.6","55","0","5.50","50.0","23.6","23.6","12.0","12.0"
"7","Bijan Robinson","ATL","RB","1","2024","1","18","CAR","28","170","170.0","6.07","2","0","15","7.1","35","20.6","75.0","7.1","85.7","17.9","8","0.29","85","3.04","50.0","3.04","19","67.9","105","1","5.53","78.9","9","32.1","65","1","7.22","100.0","31.3","31.3","29.6","29.6"
"8","Derrick Henry","BLT","RB","1","2024","1","7","TB","15","169","169.0","11.27","0","0","3","13.3","120","71.0","0.0","","40.0","40.0","1","0.07","114","7.60","67.5","3.67","10","66.7","149","0","14.90","50.0","5","33.3","20","0","4.00","20.0","25.2","25.2","9.1","9.1"
"9","Saquon Barkley","PHI","RB","1","2024","1","17","DAL","31","167","167.0","5.39","0","0","9","9.7","61","36.5","0.0","","48.4","41.9","3","0.10","70","2.26","41.9","3.13","13","41.9","67","0","5.15","61.5","16","51.6","104","0","6.50","43.8","18.9","18.9","20.0","20.0"
