"Player Details","","","","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"1","Devon Achane","MIA","RB","1","2023","1","3","DEN","18","203","203.0","11.28","2","0","6","16.7","133","65.5","33.3","11.1","66.7","33.3","11","0.61","108","6.00","53.2","5.28","7","38.9","105","1","15.00","71.4","10","55.6","58","1","5.80","60.0","51.3","51.3","18.5","18.5"
"2","Jonathan Taylor","IND","RB","1","2023","1","18","HST","30","188","188.0","6.27","1","0","9","6.7","71","37.8","0.0","3.3","50.0","43.3","6","0.20","124","4.13","66.0","2.13","16","53.3","134","1","8.38","62.5","14","46.7","54","0","3.86","35.7","27.6","27.6","20.1","20.1"
"3","James Cook","BUF","RB","1","2023","1","15","DAL","25","179","179.0","7.16","1","0","9","12.0","61","34.1","0.0","4.0","76.0","28.0","9","0.36","81","3.24","45.3","3.92","13","52.0","71","0","5.46","69.2","12","48.0","108","1","9.00","83.3","36.1","36.1","20.7","20.7"
"4","Breece Hall","NYJ","RB","1","2023","1","18","NE","37","178","178.0","4.81","1","0","8","2.7","50","28.1","0.0","2.7","43.2","45.9","10","0.27","98","2.65","55.1","2.16","24","64.9","92","0","3.83","45.8","12","32.4","86","1","7.17","41.7","29.0","29.0","22.4","22.4"
"5","Breece Hall","NYJ","RB","1","2023","1","5","DEN","22","177","177.0","8.05","1","0","6","13.6","107","60.5","0.0","4.5","50.0","36.4","6","0.27","113","5.14","63.8","2.91","11","50.0","49","0","4.45","36.4","11","50.0","128","1","11.64","63.6","28.4","28.4","16.5","16.5"
"6","D'Andre Swift","PHI","RB","1","2023","1","2","MIN","28","175","175.0","6.25","1","0","10","3.6","43","24.6","60.0","3.6","71.4","28.6","8","0.29","93","3.32","53.1","2.93","28","100.0","175","1","6.25","71.4","0","","0","0","","","27.1","27.1","23.5","23.5"
"7","Zack Moss","IND","RB","1","2023","1","5","TEN","23","165","165.0","7.17","2","0","7","4.3","56","33.9","100.0","8.7","60.9","30.4","4","0.17","77","3.35","46.7","3.83","20","87.0","152","2","7.60","60.0","3","13.0","13","0","4.33","66.7","33.5","33.5","17.3","17.3"
"8","Kyren Williams","LA","RB","1","2023","1","6","ARZ","20","158","158.0","7.90","1","0","9","15.0","75","47.5","100.0","5.0","75.0","25.0","11","0.55","116","5.80","73.4","2.10","11","55.0","123","1","11.18","81.8","9","45.0","35","0","3.89","66.7","21.8","21.8","13.4","13.4"
"9","Derrick Henry","TEN","RB","1","2023","1","18","JAX","19","153","153.0","8.05","1","0","6","15.8","103","67.3","50.0","5.3","47.4","52.6","3","0.16","136","7.16","88.9","0.89","13","68.4","137","1","10.54","53.8","6","31.6","16","0","2.67","33.3","21.3","21.3","10.4","10.4"
"10","Kyren Williams","LA","RB","1","2023","1","15","WAS","27","152","152.0","5.63","1","1","11","3.7","27","17.8","50.0","3.7","66.7","29.6","3","0.11","87","3.22","57.2","2.41","13","48.1","90","1","6.92","61.5","14","51.9","62","0","4.43","71.4","26.5","26.5","30.6","30.6"
"11","Jahmyr Gibbs","DET","RB","1","2023","1","8","LV","26","152","152.0","5.85","1","0","5","11.5","68","44.7","0.0","3.8","50.0","46.2","10","0.38","78","3.00","51.3","2.85","15","57.7","73","0","4.87","46.7","11","42.3","79","1","7.18","54.5","29.9","29.9","22.2","22.2"
"12","Christian McCaffrey","SF","RB","1","2023","1","1","PIT","22","152","152.0","6.91","1","0","7","9.1","82","53.9","0.0","4.5","45.5","54.5","7","0.32","121","5.50","79.6","1.41","15","68.2","105","1","7.00","46.7","7","31.8","47","0","6.71","42.9","25.9","25.9","17.2","17.2"
"13","Devon Achane","MIA","RB","1","2023","1","5","NYG","11","151","151.0","13.73","1","1","5","18.2","100","66.2","50.0","9.1","72.7","27.3","4","0.36","34","3.09","22.5","10.64","5","45.5","90","1","18.00","60.0","4","36.4","25","0","6.25","75.0","22.5","22.5","8.2","8.2"
"14","Devin Singletary","HST","RB","1","2023","1","10","CIN","30","150","150.0","5.00","1","0","7","3.3","22","14.7","100.0","3.3","56.7","40.0","11","0.37","70","2.33","46.7","2.67","12","40.0","55","0","4.58","58.3","17","56.7","88","1","5.18","52.9","23.1","23.1","19.1","19.1"
"15","James Conner","ARZ","RB","1","2023","1","18","SEA","27","150","150.0","5.56","1","0","9","11.1","76","50.7","50.0","3.7","37.0","51.9","5","0.19","121","4.48","80.7","1.07","10","37.0","37","0","3.70","20.0","17","63.0","113","1","6.65","47.1","30.4","30.4","21.4","21.4"
"16","Christian McCaffrey","SF","RB","1","2023","1","14","SEA","16","145","145.0","9.06","0","0","4","18.8","115","79.3","0.0","","37.5","62.5","6","0.38","41","2.56","28.3","6.50","15","93.8","145","0","9.67","40.0","0","","0","0","","","16.3","16.3","9.5","9.5"
"17","Zamir White","LV","RB","1","2023","1","16","KC","22","145","145.0","6.59","0","0","6","13.6","74","51.0","0.0","","59.1","31.8","6","0.27","105","4.77","72.4","1.82","15","68.2","66","0","4.40","60.0","7","31.8","79","0","11.29","57.1","14.5","14.5","11.9","11.9"
"18","Kyren Williams","LA","RB","1","2023","1","12","ARZ","16","143","143.0","8.94","0","0","6","12.5","80","55.9","0.0","","68.8","31.3","3","0.19","46","2.88","32.2","6.06","10","62.5","92","0","9.20","60.0","6","37.5","51","0","8.50","83.3","38.4","38.4","19.3","19.3"
"19","Keaton Mitchell","BLT","RB","1","2023","1","9","SEA","9","138","138.0","15.33","1","0","5","22.2","100","72.5","0.0","11.1","77.8","22.2","9","1.00","137","15.22","99.3","0.11","4","44.4","44","1","11.00","50.0","5","55.6","94","0","18.80","100.0","20.4","20.4","5.5","5.5"
"20","Travis Etienne","JAX","RB","1","2023","1","5","BUF","26","136","136.0","5.23","2","0","7","7.7","66","48.5","100.0","7.7","42.3","61.5","6","0.23","93","3.58","68.4","1.65","11","42.3","81","1","7.36","63.6","15","57.7","55","1","3.67","26.7","36.4","36.4","22.9","22.9"
"21","Ty Chandler","MIN","RB","1","2023","1","15","CIN","23","132","132.0","5.74","1","0","6","8.7","54","40.9","100.0","4.3","56.5","43.5","2","0.09","46","2.00","34.8","3.74","9","39.1","43","0","4.78","55.6","14","60.9","89","1","6.36","57.1","24.7","24.7","19.0","19.0"
"22","Isiah Pacheco","KC","RB","1","2023","1","17","CIN","18","130","130.0","7.22","0","0","3","11.1","72","55.4","0.0","","50.0","44.4","3","0.17","69","3.83","53.1","3.39","5","27.8","44","0","8.80","40.0","12","66.7","81","0","6.75","50.0","29.5","29.5","24.6","24.6"
"23","D'Andre Swift","PHI","RB","1","2023","1","3","TB","16","130","130.0","8.13","0","0","6","12.5","55","42.3","0.0","","68.8","31.3","3","0.19","55","3.44","42.3","4.69","13","81.3","79","0","6.08","61.5","3","18.8","51","0","17.00","100.0","14.8","14.8","11.1","11.1"
"24","Jaylen Warren","PIT","RB","1","2023","1","11","CLV","9","129","129.0","14.33","1","0","5","22.2","95","73.6","0.0","11.1","66.7","22.2","5","0.56","121","13.44","93.8","0.89","2","22.2","20","0","10.00","50.0","6","66.7","106","1","17.67","66.7","23.5","23.5","10.3","10.3"
"25","James Conner","ARZ","RB","1","2023","1","17","PHI","26","128","128.0","4.92","1","0","9","3.8","22","17.2","50.0","3.8","65.4","38.5","3","0.12","86","3.31","67.2","1.62","5","19.2","26","0","5.20","60.0","21","80.8","102","1","4.86","66.7","26.3","26.3","21.2","21.2"
"26","Saquon Barkley","NYG","RB","1","2023","1","8","NYJ","36","128","128.0","3.56","0","0","4","2.8","34","26.6","100.0","","30.6","50.0","11","0.31","108","3.00","84.4","0.56","9","25.0","29","0","3.22","22.2","27","75.0","99","0","3.67","33.3","15.8","15.8","27.5","27.5"
"27","Breece Hall","NYJ","RB","1","2023","1","1","BUF","10","127","127.0","12.70","0","1","2","20.0","109","85.8","0.0","","60.0","40.0","6","0.60","106","10.60","83.5","2.10","5","50.0","2","0","0.40","20.0","5","50.0","125","0","25.00","100.0","15.7","15.7","6.0","6.0"
"28","Aaron Jones","GB","RB","1","2023","1","16","CAR","21","127","127.0","6.05","0","0","8","4.8","39","30.7","50.0","","71.4","33.3","3","0.14","83","3.95","65.4","2.10","14","66.7","61","0","4.36","78.6","7","33.3","66","0","9.43","57.1","14.5","14.5","19.5","19.5"
"29","Khalil Herbert","CHI","RB","1","2023","1","17","ATL","18","124","124.0","6.89","1","0","4","11.1","73","58.9","16.7","5.6","44.4","44.4","1","0.06","32","1.78","25.8","5.11","12","66.7","78","0","6.50","50.0","6","33.3","46","1","7.67","33.3","20.9","20.9","16.6","16.6"
"30","Bijan Robinson","ATL","RB","1","2023","1","2","GB","19","124","124.0","6.53","0","0","9","5.3","19","15.3","100.0","","68.4","26.3","11","0.58","61","3.21","49.2","3.32","13","68.4","102","0","7.85","84.6","5","26.3","19","0","3.80","40.0","21.2","21.2","18.8","18.8"
"31","James Cook","BUF","RB","1","2023","1","2","LV","17","123","123.0","7.24","0","0","3","11.8","52","42.3","0.0","","58.8","29.4","6","0.35","76","4.47","61.8","2.76","3","17.6","10","0","3.33","33.3","14","82.4","113","0","8.07","64.3","19.9","19.9","16.0","16.0"
"32","Derrick Henry","TEN","RB","1","2023","1","4","CIN","22","122","122.0","5.55","1","0","7","13.6","61","50.0","0.0","4.5","45.5","40.9","13","0.59","97","4.41","79.5","1.14","10","45.5","44","0","4.40","30.0","12","54.5","78","1","6.50","58.3","24.4","24.4","12.6","12.6"
"33","Najee Harris","PIT","RB","1","2023","1","17","SEA","27","122","122.0","4.52","2","0","7","3.7","23","18.9","50.0","7.4","66.7","37.0","5","0.19","99","3.67","81.1","0.85","12","44.4","67","0","5.58","66.7","15","55.6","55","2","3.67","66.7","24.2","24.2","15.9","15.9"
"34","Tony Pollard","DAL","RB","1","2023","1","3","ARZ","23","122","122.0","5.30","0","0","8","4.3","31","25.4","100.0","","65.2","34.8","4","0.17","69","3.00","56.6","2.30","8","34.8","25","0","3.13","50.0","15","65.2","97","0","6.47","73.3","15.1","15.1","17.5","17.5"
"35","Zack Moss","IND","RB","1","2023","1","3","BLT","30","122","122.0","4.07","0","0","10","6.7","48","39.3","0.0","","43.3","53.3","10","0.33","59","1.97","48.4","2.10","27","90.0","119","0","4.41","48.1","3","10.0","3","0","1.00","","22.5","22.5","23.9","23.9"
