"Player Details","","","","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"1","Jonathan Taylor","IND","RB","1","2025","1","10","ATL","32","244","244.0","7.63","3","0","11","9.4","129","52.9","100.0","9.4","65.6","31.3","4","0.13","71","2.22","29.1","5.41","5","15.6","18","0","3.60","60.0","27","84.4","226","3","8.37","66.7","49.6","49.6","23.1","23.1"
"2","Jahmyr Gibbs","DET","RB","1","2025","1","12","NYG","15","219","219.0","14.60","2","0","7","20.0","167","76.3","0.0","13.3","80.0","20.0","8","0.53","106","7.07","48.4","7.53","8","53.3","82","1","10.25","75.0","6","40.0","140","1","23.33","100.0","55.4","55.4","26.9","26.9"
"3","James Cook","BUF","RB","1","2025","1","8","CAR","19","216","216.0","11.37","2","0","10","15.8","109","50.5","0.0","10.5","78.9","21.1","6","0.32","48","2.53","22.2","8.84","15","78.9","137","1","9.13","80.0","4","21.1","79","1","19.75","75.0","33.6","33.6","9.2","9.2"
"4","Derrick Henry","BLT","RB","1","2025","1","17","GB","36","216","216.0","6.00","4","0","14","5.6","55","25.5","100.0","11.1","66.7","25.0","9","0.25","94","2.61","43.5","3.39","22","61.1","156","1","7.09","63.6","14","38.9","60","3","4.29","71.4","45.6","45.6","28.5","28.5"
"5","Rico Dowdle","CAR","RB","1","2025","1","5","MIA","23","206","206.0","8.96","1","0","7","17.4","137","66.5","50.0","4.3","52.2","47.8","10","0.43","152","6.61","73.8","2.35","10","43.5","108","0","10.80","40.0","12","52.2","91","1","7.58","58.3","32.4","32.4","23.2","23.2"
"6","Bijan Robinson","ATL","RB","1","2025","1","17","LA","22","195","195.0","8.86","1","0","4","9.1","124","63.6","100.0","4.5","50.0","40.9","11","0.50","169","7.68","86.7","1.18","18","81.8","176","1","9.78","50.0","3","13.6","16","0","5.33","66.7","39.9","39.9","24.2","24.2"
"7","Rico Dowdle","CAR","RB","1","2025","1","6","DAL","30","183","183.0","6.10","0","0","10","3.3","15","8.2","0.0","","73.3","26.7","1","0.03","88","2.93","48.1","3.17","13","43.3","51","0","3.92","61.5","17","56.7","132","0","7.76","82.4","33.9","33.9","24.3","24.3"
"8","Kyle Monangai","CHI","RB","1","2025","1","9","CIN","26","176","176.0","6.77","0","0","6","7.7","57","32.4","100.0","","69.2","34.6","3","0.12","99","3.81","56.3","2.96","14","53.8","72","0","5.14","64.3","11","42.3","91","0","8.27","72.7","22.8","22.8","22.3","22.3"
"9","De'Von Achane","MIA","RB","1","2025","1","10","BUF","22","174","174.0","7.91","2","0","7","13.6","109","62.6","0.0","9.1","45.5","50.0","7","0.32","88","4.00","50.6","3.91","10","45.5","33","0","3.30","40.0","10","45.5","126","2","12.60","40.0","40.5","40.5","20.9","20.9"
