"NAME","ID","POS","Team","ADP","OVERALL","POSITION"
"Malachi Fields","1319589","WR","NYG","203.0","204","WR85"
"Calvin Ridley","884013","WR","TEN","200.9","205","WR86"
"Chris Bell","1389700","WR","MIA","225.6","206","WR87"
"Evan Engram","749185","TE","DEN","217.4","207","TE31"
"Emmett Johnson","1379251","RB","KC","207.8","208","RB60"
"Deshaun Watson","828743","QB","CLV","221.7","209","QB31"
"Charlie Kolar","1058648","TE","LAC","225.2","210","TE32"
"Kayshon Boutte","1213362","WR","NE","198.1","211","WR88"
"George Holani","1180625","RB","SEA","206.3","212","RB61"
"Tyquan Thornton","1110301","WR","KC","221.0","213","WR89"
"Kimani Vidal","1214824","RB","LAC","196.7","214","RB62"
"Braelon Allen","1325231","RB","NYJ","191.4","215","RB63"
"Mike Gesicki","836152","TE","CIN","223.1","216","TE33"
"Michael Mayer","1232592","TE","LV","226.5","217","TE34"
"Ty Johnson","877784","RB","BUF","229.0","218","RB64"
"Christian Kirk","865801","WR","SF","224.7","219","WR90"
"Ted Hurst III","1521285","WR","TB","213.5","220","WR91"
"Sean Tucker","1228633","RB","TB","203.0","221","RB65"
"David Njoku","832098","TE","LAC","212.0","222","TE35"
"Xavier Legette","1180321","WR","CAR","230.2","223","WR92"
"Tua Tagovailoa","973947","QB","ATL","205.5","224","QB32"
"Darnell Mooney","912027","WR","NYG","217.2","225","WR93"
"Samaje Perine","820734","RB","CIN","223.4","226","RB66"
"Bryce Lance","1325016","WR","NO","229.0","227","WR94"
"Jahan Dotson","1121878","WR","ATL","230.3","228","WR95"
"Colbie Young","1406878","WR","CIN","229.3","229","WR96"
"Zavion Thomas","1398153","WR","CHI","230.2","230","WR97"
"Troy Franklin","1286176","WR","DEN","220.4","231","WR98"
"Andrei Iosivas","1124851","WR","CIN","229.9","232","WR99"
"Kaytron Allen","1379259","RB","WAS","219.3","233","RB67"
"James Conner","742390","RB","ARZ","225.1","234","RB68"
"Darius Slayton","880557","WR","NYG","229.2","235","WR100"
"Devontez Walker","1277914","WR","BLT","227.3","236","WR101"
"Tory Horton","1223393","WR","SEA","225.3","237","WR102"
"Kaelon Black","1215772","RB","SF","219.0","238","RB69"
"Kirk Cousins","403308","QB","LV","217.5","239","QB33"
"Najee Harris","973964","RB","NYG","227.6","240","RB70"
"Emanuel Wilson","1447759","RB","SEA","226.8","241","RB71"
"Elic Ayomanor","1395319","WR","TEN","230.5","242","WR103"
"Demond Claiborne","1390910","RB","MIN","222.9","243","RB72"
"Jordan James","1400657","RB","SF","226.8","244","RB73"
"Jack Bech","1286046","WR","LV","230.0","245","WR104"
"Michael Penix Jr.","1107478","QB","ATL","227.2","246","QB34"
"Chris Brooks","1127065","RB","GB","228.6","247","RB74"
"Malik Benson","1441191","WR","LV","229.2","248","WR105"
