"","","","","Projection","","","","","Draft","","Passing","","","","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD"
"236","Zachariah Branch","WR","ATL","11","65.9","15","4.39","15","67","191.3","0","0","0","0.0","0","4","23","0.2","36","23","318","1.3"
"237","Demond Claiborne","RB","MIN","6","65.4","15","4.36","13","73","242.0","0","0","0","0.0","0","73","310","1.9","14","11","103","0.4"
"238","Darren Waller","TE","CAR","5","65.1","11","5.92","10","134","999.0","0","0","0","0.0","0","0","0","0.0","37","27","273","1.8"
"239","Najee Harris","RB","NYG","8","64.1","12","5.35","13","63","217.8","0","0","0","0.0","0","83","299","1.5","17","14","88","0.4"
"240","Josh Palmer","WR","BUF","7","64.1","15","4.27","15","309","999.0","0","0","0","0.0","0","0","0","0.0","34","22","305","1.9"
"241","Colbie Young","WR","CIN","6","63.3","15","4.22","15","261","999.0","0","0","0","0.0","0","0","0","0.0","35","22","299","1.9"
"242","George Holani","RB","SEA","11","63.2","13","4.86","13","155","999.0","0","0","0","0.0","0","52","210","1.2","22","18","133","0.6"
"243","Tyler Higbee","TE","LA","11","62.6","14","4.47","10","143","999.0","0","0","0","0.0","0","0","0","0.0","35","26","246","2.1"
"244","Christian Kirk","WR","SF","8","62.4","13","4.80","15","97","241.7","0","0","0","0.0","0","0","0","0.0","32","21","308","1.8"
"245","Noah Gray","TE","KC","5","62.3","15","4.16","10","160","999.0","0","0","0","0.0","0","0","0","0.0","37","28","255","1.5"
"246","Noah Fant","TE","NO","8","61.7","15","4.11","10","177","999.0","0","0","0","0.0","0","0","0","0.0","33","26","267","1.5"
"247","Xavier Hutchinson","WR","HST","8","61.1","15","4.07","15","","1430.0","0","0","0","0.0","0","2","11","0.0","35","21","283","1.7"
"248","Antonio Williams","WR","WAS","7","60.9","15","4.06","15","91","236.6","0","0","0","0.0","0","0","0","0.0","36","24","279","1.6"
"249","Elic Ayomanor","WR","TEN","9","60.5","15","4.03","15","96","241.5","0","0","0","0.0","0","0","0","0.0","41","24","263","1.8"
"250","Roman Wilson","WR","PIT","9","60.2","14","4.30","15","357","999.0","0","0","0","0.0","0","0","0","0.0","37","22","269","1.8"
"251","Oronde Gadsden II","TE","LAC","7","60.0","15","4.00","10","15","128.7","0","0","0","0.0","0","0","0","0.0","31","23","267","1.8"
"252","Kaytron Allen","RB","WAS","7","59.3","15","3.95","14","71","239.1","0","0","0","0.0","0","72","305","1.8","12","10","60","0.4"
"253","Troy Franklin","WR","DEN","10","56.8","15","3.79","15","98","241.8","0","0","0","0.0","0","3","13","0.0","33","20","248","1.7"
"254","Elijah Arroyo","TE","SEA","11","56.8","15","3.79","10","195","999.0","0","0","0","0.0","0","0","0","0.0","32","24","239","1.5"
"255","Zavion Thomas","WR","CHI","10","56.2","15","3.75","15","260","999.0","0","0","0","0.0","0","12","68","0.2","25","16","239","1.4"
"256","John Metchie III","WR","CAR","5","56.1","14","4.01","15","326","999.0","0","0","0","0.0","0","0","0","0.0","34","23","244","1.5"
"257","Chris Brooks","RB","GB","11","55.9","15","3.72","14","207","999.0","0","0","0","0.0","0","57","244","1.3","15","12","89","0.4"
"258","Bryce Lance","WR","NO","8","55.8","15","3.72","15","262","999.0","0","0","0","0.0","0","0","0","0.0","37","23","241","1.5"
"259","Oscar Delp","TE","NO","8","55.8","15","3.72","10","221","999.0","0","0","0","0.0","0","0","0","0.0","33","24","231","1.4"
"260","Brashard Smith","RB","KC","5","55.6","15","3.71","14","66","226.3","0","0","0","0.0","0","33","126","0.7","24","19","154","0.8"
"261","Greg Dortch","WR","DET","6","55.0","14","3.93","15","321","999.0","0","0","0","0.0","0","3","16","0.0","34","24","214","1.3"
"262","Daniel Bellinger","TE","TEN","9","54.4","15","3.63","10","151","999.0","0","0","0","0.0","0","0","0","0.0","31","24","225","1.4"
