"","","","","Projection","","","","","Draft","","Passing","","","","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD"
"390","Odell Beckham Jr.","WR","NYG","8","22.6","10","2.26","17","342","999.0","0","0","0","0.0","0","0","0","0.0","14","9","91","0.8"
"391","Sione Vaki","RB","DET","6","22.3","10","2.23","16","158","999.0","0","0","0","0.0","0","27","108","0.8","3","3","34","0.2"
"392","Hunter Luepke","RB","DAL","14","22.2","15","1.48","16","","2155.0","0","0","0","0.0","0","13","53","0.3","9","7","60","0.3"
"393","Dare Ogunbowale","RB","LV","13","21.9","7","3.13","16","150","999.0","0","0","0","0.0","0","13","47","0.2","11","9","54","0.3"
"394","Brady Cook","QB","NYJ","13","21.8","2","10.88","15","124","999.0","63","38","386","1.7","2","5","19","0.1","0","0","0","0.0"
"395","Max Klare","TE","LA","11","21.3","15","1.42","11","35","248.8","0","0","0","0.0","0","0","0","0.0","10","7","96","0.8"
"396","Dont'e Thornton Jr.","WR","LV","13","21.1","12","1.76","17","","2175.0","0","0","0","0.0","0","0","0","0.0","13","8","100","0.5"
"397","Brevyn Spann-Ford","TE","DAL","14","20.1","15","1.34","11","118","999.0","0","0","0","0.0","0","0","0","0.0","11","8","72","0.8"
"398","Riley Nowakowski","TE","PIT","9","19.4","15","1.29","11","79","643.4","0","0","0","0.0","0","0","0","0.0","9","7","88","0.6"
"399","Raheim Sanders","RB","CLV","11","19.2","10","1.92","16","145","999.0","0","0","0","0.0","0","24","93","0.6","4","3","27","0.1"
"400","KeAndre Lambert-Smith","WR","LAC","7","19.1","12","1.59","17","","2195.0","0","0","0","0.0","0","0","0","0.0","10","6","96","0.5"
"401","Van Jefferson","WR","WAS","7","19.0","15","1.27","17","144","550.0","0","0","0","0.0","0","0","0","0.0","12","7","88","0.5"
"402","Ben Sims","TE","MIA","6","18.7","15","1.24","11","49","468.0","0","0","0","0.0","0","0","0","0.0","11","8","74","0.5"
"403","Jackson Hawes","TE","BUF","7","18.5","14","1.32","11","69","613.5","0","0","0","0.0","0","0","0","0.0","8","6","79","0.8"
"404","Alec Ingold","RB","LAC","7","18.4","15","1.23","16","","2215.0","0","0","0","0.0","0","3","8","0.1","10","8","71","0.3"
"405","Xavier Weaver","WR","ARZ","14","18.1","15","1.21","17","189","647.0","0","0","0","0.0","0","0","0","0.0","8","5","98","0.6"
"406","Andrew Ogletree","TE","IND","13","18.0","15","1.20","11","223","999.0","0","0","0","0.0","0","0","0","0.0","9","6","74","0.7"
"407","Arian Smith","WR","NYJ","13","18.0","15","1.20","17","","2230.0","0","0","0","0.0","0","2","13","0.0","10","7","72","0.5"
"408","Ben Yurosek","TE","MIN","6","17.9","15","1.19","11","185","999.0","0","0","0","0.0","0","0","0","0.0","15","11","43","0.5"
"409","Charlie Woerner","TE","ATL","11","17.4","15","1.16","11","78","641.5","0","0","0","0.0","0","0","0","0.0","8","6","84","0.5"
"410","Luke Musgrave","TE","GB","11","17.3","8","2.16","11","131","999.0","0","0","0","0.0","0","0","0","0.0","11","8","71","0.4"
"411","Justin Joly","TE","DEN","10","17.0","15","1.13","11","217","999.0","0","0","0","0.0","0","0","0","0.0","10","7","68","0.5"
"412","Eric Saubert","TE","SEA","11","16.6","15","1.10","11","65","575.5","0","0","0","0.0","0","0","0","0.0","10","7","65","0.5"
"413","Salvon Ahmed","RB","CHI","10","16.0","10","1.60","16","108","640.0","0","0","0","0.0","0","21","89","0.5","2","2","15","0.1"
"414","Julian Hill","TE","NE","11","15.8","15","1.05","11","89","668.8","0","0","0","0.0","0","0","0","0.0","8","6","65","0.5"
"415","Davis Allen","TE","LA","11","15.3","15","1.02","11","83","660.7","0","0","0","0.0","0","0","0","0.0","9","6","54","0.6"
"416","Kylen Granson","TE","TEN","9","15.2","15","1.01","11","54","505.0","0","0","0","0.0","0","0","0","0.0","9","7","55","0.5"
"417","Max Bredeson","RB","MIN","6","15.0","15","1.00","16","87","667.3","0","0","0","0.0","0","7","24","0.1","7","6","52","0.2"
"418","Laquon Treadwell","WR","IND","13","15.0","10","1.50","17","184","643.3","0","0","0","0.0","0","0","0","0.0","8","5","78","0.3"
"419","Adam Prentice","RB","DEN","10","14.9","15","1.00","16","","2290.0","0","0","0","0.0","0","6","22","0.1","8","6","47","0.2"
"420","Luke Farrell","TE","SF","8","14.9","15","0.99","11","52","491.0","0","0","0","0.0","0","0","0","0.0","8","6","64","0.5"
"421","Jack Stoll","TE","CLV","11","14.7","15","0.98","11","71","621.3","0","0","0","0.0","0","0","0","0.0","8","6","57","0.6"
"422","Deion Burks","WR","IND","13","14.6","14","1.04","17","","2305.0","0","0","0","0.0","0","0","0","0.0","9","6","72","0.3"
"423","Dylan Laube","RB","LV","13","14.6","8","1.83","16","203","999.0","0","0","0","0.0","0","15","60","0.3","4","3","28","0.1"
"424","Emari Demercado","RB","KC","5","14.6","10","1.46","16","197","999.0","0","0","0","0.0","0","12","49","0.3","5","4","32","0.2"
"425","Emmanuel Henderson Jr.","WR","SEA","11","14.4","15","0.96","17","289","999.0","0","0","0","0.0","0","0","0","0.0","6","4","75","0.5"
"426","Ronnie Rivers","RB","LA","11","13.9","10","1.39","17","168","999.0","0","0","0","0.0","0","18","74","0.4","2","1","20","0.1"
"427","Riley Leonard","QB","IND","13","13.9","1","13.86","15","82","999.0","34","21","216","1.2","1","2","13","0.1","0","0","0","0.0"
"428","Phil Mafah","RB","DAL","14","13.6","13","1.05","17","187","999.0","0","0","0","0.0","0","16","67","0.4","3","2","14","0.1"
"429","Tanner Koziol","TE","JAX","7","13.5","15","0.90","11","216","999.0","0","0","0","0.0","0","0","0","0.0","7","5","54","0.5"
"430","Mason Tipton","WR","NO","8","13.5","12","1.13","17","131","490.0","0","0","0","0.0","0","2","10","0.0","7","5","56","0.4"
"431","Ian Thomas","TE","LV","13","13.1","14","0.94","11","136","999.0","0","0","0","0.0","0","0","0","0.0","9","7","46","0.2"
"432","Jonathan Mingo","WR","DAL","14","12.7","10","1.27","17","250","699.9","0","0","0","0.0","0","0","0","0.0","10","6","46","0.4"
"433","Marquez Valdes-Scantling","WR","DAL","14","12.5","6","2.08","17","168","629.8","0","0","0","0.0","0","1","5","0.0","7","4","50","0.4"
"434","Nate Adkins","TE","DEN","10","12.5","14","0.89","11","73","627.5","0","0","0","0.0","0","0","0","0.0","7","5","45","0.5"
"435","Elijah Moore","WR","PHI","10","12.4","10","1.24","17","251","700.0","0","0","0","0.0","0","0","0","0.0","9","5","44","0.4"
"436","Malik Davis","RB","DAL","14","12.1","10","1.21","17","189","999.0","0","0","0","0.0","0","15","63","0.4","2","2","15","0.1"
"437","Jahdae Walker","WR","CHI","10","11.8","14","0.84","17","278","999.0","0","0","0","0.0","0","0","0","0.0","6","4","62","0.3"
"438","Nate Carter","RB","ATL","11","11.8","5","2.36","17","133","699.0","0","0","0","0.0","0","14","64","0.4","2","2","14","0.1"
"439","CJ Daniels","WR","LA","11","11.8","14","0.84","17","267","999.0","0","0","0","0.0","0","0","0","0.0","7","4","57","0.3"
"440","Tylan Wallace","WR","CLV","11","11.7","14","0.84","17","212","669.8","0","0","0","0.0","0","0","0","0.0","7","4","55","0.3"
"441","Foster Moreau","TE","HST","8","11.6","14","0.83","11","77","638.3","0","0","0","0.0","0","0","0","0.0","7","5","42","0.3"
"442","Travis Homer","RB","PIT","9","11.3","14","0.81","17","132","695.2","0","0","0","0.0","0","14","45","0.1","4","3","25","0.1"
"443","Dareke Young","WR","LV","13","11.2","12","0.93","17","218","676.0","0","0","0","0.0","0","0","0","0.0","6","4","54","0.3"
"444","Austin Trammell","WR","JAX","7","11.1","10","1.11","17","200","658.0","0","0","0","0.0","0","0","0","0.0","7","4","51","0.3"
"445","Payne Durham","TE","TB","10","11.1","15","0.74","11","62","564.0","0","0","0","0.0","0","0","0","0.0","6","4","40","0.4"
"446","Michael Burton","RB","CLV","11","10.5","15","0.70","17","","2425.0","0","0","0","0.0","0","4","15","0.1","4","3","37","0.2"
"447","Tyrell Shavers","WR","BUF","7","10.5","5","2.09","17","194","651.4","0","0","0","0.0","0","0","0","0.0","5","3","53","0.3"
"448","Mecole Hardman","WR","BUF","7","10.5","10","1.05","17","192","649.3","0","0","0","0.0","0","2","14","0.0","5","4","40","0.2"
"449","Rasheen Ali","RB","BLT","13","10.3","5","2.06","17","204","999.0","0","0","0","0.0","0","6","24","0.1","4","3","31","0.2"
"450","Hunter Long","TE","JAX","7","10.2","14","0.73","11","165","999.0","0","0","0","0.0","0","0","0","0.0","5","4","36","0.4"
"451","Chris Blair","WR","ATL","11","10.1","10","1.01","17","172","634.5","0","0","0","0.0","0","0","0","0.0","6","4","50","0.3"
"452","Kameron Johnson","WR","TB","10","10.1","10","1.01","17","","2455.0","0","0","0","0.0","0","0","0","0.0","6","4","47","0.3"
"453","David Moore","WR","CAR","5","10.1","10","1.01","17","152","575.5","0","0","0","0.0","0","0","0","0.0","6","4","41","0.3"
"454","Derius Davis","WR","LAC","7","9.5","12","0.79","17","","2465.0","0","0","0","0.0","0","5","33","0.2","3","2","23","0.2"
"455","Ben Skowronek","WR","PIT","9","9.5","14","0.68","17","210","667.7","0","0","0","0.0","0","0","0","0.0","7","4","37","0.2"
"456","Jeremy McNichols","RB","WAS","7","9.4","5","1.88","17","147","999.0","0","0","0","0.0","0","3","14","0.1","5","4","27","0.1"
"457","Grant Calcaterra","TE","PHI","10","9.4","15","0.62","11","102","685.8","0","0","0","0.0","0","1","4","0.0","4","3","35","0.3"
"458","Andrew Beck","RB","NYJ","13","8.9","15","0.59","17","100","614.0","0","0","0","0.0","0","1","6","0.0","4","4","36","0.1"
"459","Trey Benson","RB","ARZ","14","8.8","5","1.76","17","77","255.2","0","0","0","0.0","0","7","29","0.2","3","3","20","0.1"
"460","British Brooks","RB","HST","8","8.7","15","0.58","17","151","999.0","0","0","0","0.0","0","15","63","0.3","1","0","3","0.0"
"461","Roschon Johnson","RB","CHI","10","8.7","5","1.75","17","209","999.0","0","0","0","0.0","0","11","48","0.3","1","1","9","0.0"
"462","Lil'Jordan Humphrey","WR","DEN","10","8.6","10","0.86","17","303","999.0","0","0","0","0.0","0","0","0","0.0","5","3","36","0.3"
"463","Will Mallory","TE","IND","13","8.6","7","1.22","11","109","698.5","0","0","0","0.0","0","0","0","0.0","5","3","39","0.2"
"464","LaJohntay Wester","WR","BLT","13","8.5","14","0.61","17","","2515.0","0","0","0","0.0","0","0","0","0.0","4","2","43","0.3"
"465","Tim Patrick","WR","NYJ","13","8.3","5","1.67","17","146","556.3","0","0","0","0.0","0","1","5","0.0","4","2","37","0.3"
"466","Teagan Quitoriano","TE","ARZ","14","8.3","10","0.83","11","152","999.0","0","0","0","0.0","0","0","0","0.0","5","3","33","0.3"
"467","Malachi Corley","WR","CLV","11","8.2","8","1.02","17","99","242.0","0","0","0","0.0","0","5","35","0.1","2","1","19","0.1"
"468","Jack Westover","TE","NE","11","7.9","15","0.53","11","50","472.7","0","0","0","0.0","0","0","0","0.0","5","4","20","0.4"
"469","Tim Jones","WR","JAX","7","7.7","10","0.77","17","181","642.0","0","0","0","0.0","0","0","0","0.0","5","3","35","0.2"
"470","DeeJay Dallas","RB","JAX","7","7.5","10","0.75","17","119","677.3","0","0","0","0.0","0","7","29","0.1","2","2","17","0.1"
"471","C.J. Williams","WR","JAX","7","7.2","15","0.48","17","265","999.0","0","0","0","0.0","0","0","0","0.0","4","2","34","0.2"
"472","Jam Miller","RB","NE","11","7.2","10","0.72","17","171","999.0","0","0","0","0.0","0","7","31","0.2","1","1","14","0.1"
"473","Jared Wiley","TE","KC","5","7.0","10","0.70","11","95","677.5","0","0","0","0.0","0","0","0","0.0","3","3","29","0.3"
"474","Myles Price","WR","MIN","6","6.9","14","0.49","17","279","999.0","0","0","0","0.0","0","0","0","0.0","4","3","27","0.2"
"475","Connor Heyward","RB","LV","13","6.6","15","0.44","17","98","682.0","0","0","0","0.0","0","7","18","0.4","1","1","10","0.1"
"476","Albert Okwuegbunam","TE","LV","13","6.6","5","1.32","11","170","999.0","0","0","0","0.0","0","0","0","0.0","4","3","28","0.2"
"477","Jalen Brooks","WR","ARZ","14","6.5","10","0.65","17","236","691.3","0","0","0","0.0","0","0","0","0.0","2","1","33","0.3"
"478","Kaleb Johnson","RB","PIT","9","6.4","6","1.06","17","62","217.5","0","0","0","0.0","0","8","32","0.1","2","1","10","0.0"
"479","Tyler Badie","RB","DEN","10","5.7","4","1.42","17","167","999.0","0","0","0","0.0","0","2","10","0.0","3","2","18","0.1"
"480","Jacob Cowing","WR","SF","8","5.4","13","0.42","17","","2595.0","0","0","0","0.0","0","2","10","0.0","1","1","28","0.1"
"481","Skyy Moore","WR","GB","11","5.4","7","0.77","17","228","685.4","0","0","0","0.0","0","0","0","0.0","2","2","30","0.2"
"482","Keleki Latu","TE","BUF","7","5.4","10","0.54","11","64","571.2","0","0","0","0.0","0","0","0","0.0","3","2","23","0.2"
"483","Colson Yankoff","TE","WAS","7","5.4","14","0.38","11","","2610.0","0","0","0","0.0","0","0","0","0.0","3","2","19","0.2"
"484","David Martin-Robinson","TE","TEN","9","5.2","15","0.35","11","214","999.0","0","0","0","0.0","0","0","0","0.0","3","3","15","0.2"
"485","Pierre Strong","RB","GB","11","5.1","5","1.03","17","121","682.0","0","0","0","0.0","0","5","23","0.1","1","1","8","0.0"
"486","AJ Dillon","RB","CAR","5","5.1","7","0.72","17","149","999.0","0","0","0","0.0","0","4","16","0.1","2","2","11","0.0"
"487","Kene Nwangwu","RB","NYJ","13","5.0","5","1.01","17","169","999.0","0","0","0","0.0","0","6","25","0.1","1","1","8","0.1"
"488","Patrick Ricard","RB","NYG","8","5.0","15","0.33","17","","2635.0","0","0","0","0.0","0","1","2","0.0","2","2","19","0.2"
"489","Jelani Woods","TE","NYJ","13","4.9","10","0.49","11","34","243.0","0","0","0","0.0","0","0","0","0.0","2","2","22","0.1"
"490","Joshua Simon","TE","ATL","11","4.9","10","0.49","11","45","415.0","0","0","0","0.0","0","0","0","0.0","2","1","27","0.2"
"491","Brady Russell","RB","SEA","11","4.8","15","0.32","17","76","636.0","0","0","0","0.0","0","1","2","0.0","3","2","15","0.1"
"492","Reggie Gilliam","RB","NE","11","4.7","15","0.31","17","170","999.0","0","0","0","0.0","0","1","3","0.0","2","2","18","0.1"
"493","Ty Chandler","RB","NO","8","4.5","10","0.45","17","194","999.0","0","0","0","0.0","0","8","30","0.1","1","0","2","0.0"
"494","Drake Dabney","TE","GB","11","4.4","7","0.63","11","44","409.3","0","0","0","0.0","0","0","0","0.0","3","2","16","0.2"
"495","Devin Duvernay","WR","ARZ","14","4.2","12","0.35","17","314","999.0","0","0","0","0.0","0","0","0","0.0","1","1","24","0.2"
"496","Josh Williams","RB","TB","10","4.2","5","0.83","17","96","581.4","0","0","0","0.0","0","7","26","0.1","1","0","4","0.0"
"497","Justin Watson","WR","HST","8","3.9","5","0.79","17","241","695.2","0","0","0","0.0","0","0","0","0.0","2","2","17","0.1"
"498","Nikko Remigio","WR","KC","5","3.9","10","0.39","17","","2685.0","0","0","0","0.0","0","0","0","0.0","3","2","17","0.1"
"499","Xavier Restrepo","WR","TEN","9","3.8","5","0.76","17","217","675.0","0","0","0","0.0","0","0","0","0.0","2","1","17","0.1"
"500","Thomas Fidone II","TE","NYG","8","3.6","5","0.72","11","194","999.0","0","0","0","0.0","0","0","0","0.0","1","1","17","0.1"
"501","Jason Brownlee","WR","KC","5","3.6","5","0.72","17","","2700.0","0","0","0","0.0","0","0","0","0.0","2","1","14","0.1"
"502","Jaret Patterson","RB","LAC","7","3.6","5","0.72","17","117","677.0","0","0","0","0.0","0","4","17","0.1","1","1","5","0.0"
"503","Kaden Wetjen","WR","PIT","9","3.5","10","0.35","17","257","999.0","0","0","0","0.0","0","0","0","0.0","2","1","15","0.2"
"504","Quintin Morris","TE","JAX","7","3.4","5","0.68","11","163","999.0","0","0","0","0.0","0","0","0","0.0","2","1","12","0.2"
"505","Michael Carter","RB","TEN","9","3.4","5","0.68","17","125","686.5","0","0","0","0.0","0","4","15","0.1","1","1","7","0.0"
"506","Isaac Guerendo","RB","SF","8","3.4","5","0.68","17","211","999.0","0","0","0","0.0","0","3","11","0.1","1","1","9","0.0"
"507","Lan Larison","RB","NE","11","3.4","5","0.68","17","152","999.0","0","0","0","0.0","0","4","15","0.1","1","1","6","0.0"
"508","Scott Miller","WR","CHI","10","3.3","5","0.67","17","245","697.5","0","0","0","0.0","0","0","0","0.0","2","1","16","0.1"
"509","Frank Gore Jr.","RB","BUF","7","3.3","7","0.47","17","202","999.0","0","0","0","0.0","0","3","13","0.1","1","1","6","0.0"
"510","Brittain Brown","RB","CHI","10","3.3","5","0.65","17","191","999.0","0","0","0","0.0","0","3","14","0.1","1","1","7","0.0"
"511","Chris Manhertz","TE","NYG","8","3.2","15","0.21","11","72","625.3","0","0","0","0.0","0","0","0","0.0","2","1","11","0.1"
"512","Gavin Bartholomew","TE","MIN","6","3.1","10","0.31","11","86","667.2","0","0","0","0.0","0","0","0","0.0","2","1","13","0.1"
"513","Dameon Pierce","RB","PHI","10","3.1","5","0.62","17","148","999.0","0","0","0","0.0","0","5","19","0.1","0","0","2","0.0"
"514","Kalel Mullings","RB","TEN","9","3.0","5","0.61","17","128","690.0","0","0","0","0.0","0","5","21","0.1","0","0","2","0.0"
"515","Dylan Drummond","WR","ATL","11","2.8","10","0.28","17","103","251.0","0","0","0","0.0","0","0","0","0.0","2","1","13","0.1"
"516","Cameron Latu","TE","PHI","10","2.8","15","0.18","11","","2775.0","0","0","0","0.0","0","1","4","0.0","1","1","8","0.1"
"517","Devin Culp","TE","TB","10","2.7","7","0.39","11","42","342.0","0","0","0","0.0","0","0","0","0.0","1","1","13","0.1"
"518","Damien Martinez","RB","GB","11","2.6","5","0.52","17","146","999.0","0","0","0","0.0","0","1","6","0.0","1","1","7","0.0"
"519","Jake Briningstool","TE","KC","5","2.6","5","0.52","11","180","999.0","0","0","0","0.0","0","0","0","0.0","2","1","9","0.1"
"520","Stephen Carlson","TE","CHI","10","2.5","10","0.25","11","171","999.0","0","0","0","0.0","0","0","0","0.0","1","1","12","0.1"
"521","CJ Dippre","TE","NE","11","2.5","5","0.50","11","67","603.4","0","0","0","0.0","0","0","0","0.0","1","1","9","0.1"
"522","Dominic Lovett","WR","DET","6","2.4","7","0.34","17","155","589.0","0","0","0","0.0","0","0","0","0.0","2","1","10","0.1"
"523","Cam Grandy","TE","CIN","6","2.3","5","0.46","11","128","999.0","0","0","0","0.0","0","0","0","0.0","1","1","9","0.1"
"524","Brayden Willis","TE","SF","8","2.3","5","0.45","11","125","999.0","0","0","0","0.0","0","0","0","0.0","2","1","8","0.1"
"525","Efton Chism III","WR","NE","11","2.1","5","0.42","17","","2820.0","0","0","0","0.0","0","0","0","0.0","1","1","11","0.1"
"526","JP Richardson","WR","CHI","10","1.8","5","0.36","17","203","662.5","0","0","0","0.0","0","0","0","0.0","1","1","8","0.0"
"527","Zaire Mitchell-Paden","TE","NO","8","1.7","7","0.25","11","197","999.0","0","0","0","0.0","0","0","0","0.0","1","1","6","0.1"
"528","Ke'Shawn Williams","WR","CIN","6","1.7","5","0.34","17","173","636.0","0","0","0","0.0","0","0","0","0.0","1","1","6","0.1"
"529","Ahmani Marshall","RB","CLV","11","1.7","5","0.33","17","182","999.0","0","0","0","0.0","0","2","9","0.0","0","0","2","0.0"
"530","Gary Brightwell","RB","CIN","6","1.6","5","0.32","17","93","558.5","0","0","0","0.0","0","0","0","0.0","1","1","7","0.0"
"531","Nick Kallerup","TE","SEA","11","1.5","10","0.15","11","184","999.0","0","0","0","0.0","0","0","0","0.0","1","1","7","0.1"
"532","Ulysses Bentley IV","RB","IND","13","1.5","5","0.30","17","92","554.5","0","0","0","0.0","0","2","8","0.0","0","0","2","0.0"
"533","Charlie Jones","WR","CIN","6","1.2","5","0.25","17","","2860.0","0","0","0","0.0","0","0","0","0.0","1","1","4","0.0"
"534","Dontae Fleming","WR","MIN","6","1.2","5","0.24","17","121","449.7","0","0","0","0.0","0","0","0","0.0","1","0","4","0.0"
"534","Jeshaun Jones","WR","MIN","6","1.2","5","0.24","17","106","271.0","0","0","0","0.0","0","0","0","0.0","1","0","4","0.0"
"536","Hayden Rucci","TE","SF","8","0.6","5","0.12","11","201","999.0","0","0","0","0.0","0","0","0","0.0","0","0","2","0.0"
"537","Ko Kieft","TE","TB","10","0.6","7","0.08","11","210","999.0","0","0","0","0.0","0","0","0","0.0","0","0","2","0.0"
"538","Jordan Watkins","WR","SF","8","0.0","0","0.00","17","","2885.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Dillon Gabriel","QB","CLV","11","0.0","0","0.00","15","81","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Stetson Bennett","QB","LA","11","0.0","0","0.00","15","125","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Feleipe Franks","TE","CAR","5","0.0","0","0.00","11","164","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Mason Rudolph","QB","PIT","9","0.0","0","0.00","15","91","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Ameer Abdullah","RB","JAX","7","0.0","0","0.00","17","99","612.4","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Ricky White III","WR","SEA","11","0.0","0","0.00","17","219","676.5","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Jared Wayne","WR","HST","8","0.0","0","0.00","17","225","682.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Moliki Matavao","TE","NO","8","0.0","0","0.00","11","199","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Lucas Krull","TE","DEN","10","0.0","0","0.00","11","208","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Michael Bandy","WR","DEN","10","0.0","0","0.00","17","340","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Dayton Wade","WR","BLT","13","0.0","0","0.00","17","","2885.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Bauer Sharp","TE","TB","10","0.0","0","0.00","11","222","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Donovan Edwards","RB","MIA","6","0.0","0","0.00","17","109","641.8","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Kevin Austin Jr.","WR","NO","8","0.0","0","0.00","17","331","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Aidan O'Connell","QB","LV","13","0.0","0","0.00","15","54","662.3","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Garrett Greene","WR","TB","10","0.0","0","0.00","17","70","692.3","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Lawrence Cager","TE","WAS","7","0.0","0","0.00","11","166","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Gardner Minshew","QB","ARZ","14","0.0","0","0.00","15","66","677.8","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Ben VanSumeren","RB","BUF","7","0.0","0","0.00","17","","2885.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Rivaldo Fairweather","TE","ARZ","14","0.0","0","0.00","11","101","683.3","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Brevin Jordan","TE","HST","8","0.0","10","0.00","11","82","651.3","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Isaiah Hodgins","WR","NYG","8","0.0","0","0.00","17","312","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Jake Bobo","WR","SEA","11","0.0","14","0.00","17","","2885.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Jalen Milroe","QB","SEA","11","0.0","0","0.00","15","78","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
"538","Andy Dalton","QB","PHI","10","0.0","0","0.00","15","74","999.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0"
