"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"1","Jahmyr Gibbs","RB","DET","6","RB2","2.9","347.6","15","23.17","1","0","0","0","0","0","272.0","1352.9","13.5","78.8","65.4","478.9","3.2","-","-","-","-","-"
"2","Bijan Robinson","RB","ATL","11","RB1","1.4","338.0","15","22.53","1","0","0","0","0","0","292.8","1370.0","9.7","82.4","67.3","587.4","3.1","-","-","-","-","-"
"3","Josh Allen","QB","BUF","7","QB1","28.2","335.9","15","22.39","1","466","311","3585","24.6","11","106.1","522.8","9.2","-","-","-","-","-","-","-","-","-"
"4","Puka Nacua","WR","LA","11","WR2","4.9","313.6","15","20.91","1","0","0","0","0","0","11.9","73.8","0.5","149.2","108.7","1455.9","8.2","-","-","-","-","-"
"5","Lamar Jackson","QB","BLT","13","QB2","37.9","312.2","15","20.81","2","434","283","3528","24.0","9","121.1","668.3","3.5","-","-","-","-","-","-","-","-","-"
"6","Jonathan Taylor","RB","IND","13","RB4","7.7","309.1","15","20.61","2","0","0","0","0","0","289.8","1371.8","13.7","55.8","46.0","346.5","1.8","-","-","-","-","-"
"7","Drake Maye","QB","NE","11","QB3","51.2","306.0","15","20.40","2","458","309","3728","25.3","10","93.6","507.2","3.2","-","-","-","-","-","-","-","-","-"
"8","Jalen Hurts","QB","PHI","10","QB6","67.2","303.4","15","20.22","2","458","301","3354","21.7","7","108.9","502.1","7.1","-","-","-","-","-","-","-","-","-"
"9","Jayden Daniels","QB","WAS","7","QB5","62.1","299.4","15","19.96","2","435","282","3087","19.4","8","131.7","807.2","4.8","-","-","-","-","-","-","-","-","-"
"10","Christian McCaffrey","RB","SF","8","RB3","6.7","298.8","14.5","20.61","2","0","0","0","0","0","247.4","980.9","8.4","79.7","66.2","563.6","4.8","-","-","-","-","-"
"11","Joe Burrow","QB","CIN","6","QB4","57.1","295.7","15","19.71","3","543","368","3971","31.0","11","40.3","173.2","1.5","-","-","-","-","-","-","-","-","-"
"12","Dak Prescott","QB","DAL","14","QB10","90.3","295.5","15","19.70","3","536","360","4058","29.3","12","49.5","187.8","1.9","-","-","-","-","-","-","-","-","-"
"13","Ja'Marr Chase","WR","CIN","6","WR1","3.4","285.1","15","19.01","2","0","0","0","0","0","3.1","18.5","0.0","145.7","102.2","1269.7","9.1","-","-","-","-","-"
"14","Trevor Lawrence","QB","JAX","7","QB11","92.3","282.3","15","18.82","3","501","319","3665","23.7","12","66.5","295.7","4.3","-","-","-","-","-","-","-","-","-"
"15","Justin Herbert","QB","LAC","7","QB9","83.7","280.6","15","18.71","4","514","340","3783","25.2","10","62.4","306.2","1.8","-","-","-","-","-","-","-","-","-"
